pubmed_id,Keyword,CUIs
35143601,years,{'C0439234'}
35143601,women,{'C0043210'}
35143601,NOACs,
35143601,anticoagulants,{'C0003280'}
35143601,stroke,{'C0038454'}
35143601,Patients,{'C0030705'}
35143601,NOACs,
35143601,older,
35143601,median age,
35143601,IQR,
35143601,years,{'C0439234'}
35143601,IQR,
35143601,years,{'C0439234'}
35143601,anticoagulants,{'C0003280'}
35143601,prevalence,"{'C0033105', 'C0220900'}"
35143601,cardiovascular,"{'C0007226', 'C3887460'}"
35143601,comorbidities,{'C0009488'}
35143601,severe,{'C0205082'}
35143601,strokes,{'C0038454'}
35143601,median,"{'C0876920', 'C0549183'}"
35143601,National Institutes of Health Stroke Scale score,
35143601,IQR,
35143601,IQR,
35143601,rate,
35143601,symptomatic,{'C0231220'}
35143601,intracranial hemorrhage,{'C0151699'}
35143601,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35143601,patients,{'C0030705'}
35143601,NOACs,
35143601,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35143601,patients,{'C0030705'}
35143601,anticoagulants,{'C0003280'}
35143601,baseline,"{'C0168634', 'C1442488', 'C1552824'}"
35143601,clinical factors,
35143601,risk,"{'C4552904', 'C0035647'}"
35143601,symptomatic,{'C0231220'}
35143601,intracranial hemorrhage,{'C0151699'}
35143601,groups,"{'C0441833', 'C0687744', 'C1552839'}"
35143601,odds ratio,{'C0028873'}
35143601,OR,"{'C4761403', 'C0029064', 'C0029195'}"
35143601,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35143601,risk difference,
35143601,RD,"{'C5202627', 'C0694666', 'C1418479', 'C1422315', 'C1862204', 'C4553350', 'C1418543', 'C1414218', 'C0332136'}"
35143601,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35143601,secondary safety,
35143601,outcomes,
35143601,inpatient,{'C0021562'}
35143601,mortality,"{'C0026566', 'C0026565'}"
35143601,patients,{'C0030705'}
35143601,NOACs,
35143601,patients,{'C0030705'}
35143601,anticoagulants,{'C0003280'}
35143601,OR,"{'C4761403', 'C0029064', 'C0029195'}"
35143601,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35143601,RD,"{'C5202627', 'C0694666', 'C1418479', 'C1422315', 'C1862204', 'C4553350', 'C1418543', 'C1414218', 'C0332136'}"
35143601,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35143601,secondary,"{'C0027627', 'C0175668', 'C1522484'}"
35143601,NOAC,{'C0642228'}
35143601,group,"{'C0441833', 'C0687744'}"
35143601,adjustment,"{'C0456081', 'C0683269'}"
35143601,proportion,
35143601,patients,{'C0030705'}
35143601,patients,{'C0030705'}
35143601,anticoagulants,{'C0003280'}
35143601,OR,"{'C4761403', 'C0029064', 'C0029195'}"
35143601,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35143601,RD,"{'C5202627', 'C0694666', 'C1418479', 'C1422315', 'C1862204', 'C4553350', 'C1418543', 'C1414218', 'C0332136'}"
35143601,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35143601,patients,{'C0030705'}
35143601,acute ischemic stroke,
35143601,treated with,{'C1522326'}
35143601,intravenous alteplase,
35143601,NOACs,
35143601,days,{'C0439228'}
35143601,compared,
35143601,anticoagulants,{'C0003280'}
35143601,associated with,{'C0332281'}
35143601,increased,{'C0205217'}
35143601,risk,"{'C4552904', 'C0035647'}"
35143601,intracranial hemorrhage,{'C0151699'}
35133415,effects of,
35133415,tirzepatide,{'C5139934'}
35133415,glucagon-like peptide-1 receptor,
35133415,insulin glargine,{'C0907402'}
35133415,treatment,"{'C0087111', 'C3887704', 'C0039798'}"
35133415,type 2 diabetes,{'C0011860'}
35133415,efficacy,{'C1280519'}
35133415,safety,{'C0036043'}
35133415,tirzepatide,{'C5139934'}
35133415,insulin glargine,{'C0907402'}
35133415,patients,{'C0030705'}
35133415,type 2 diabetes,{'C0011860'}
35133415,inadequate glycemic control,
35133415,Randomized phase 3 clinical trial,
35133415,medical research centers,
35133415,hospitals,{'C0019994'}
35133415,countries,{'C0454664'}
35133415,enrollment,"{'C3888021', 'C1516879', 'C1696073'}"
35133415,follow-up,"{'C0589120', 'C1522577'}"
35133415,adults,{'C0001675'}
35133415,type 2 diabetes,{'C0011860'}
35133415,inadequate glycemic control,
35133415,treated with,{'C1522326'}
35133415,once-daily,
35133415,insulin glargine,{'C0907402'}
35133415,metformin,{'C0025598'}
35133415,Patients,{'C0030705'}
35133415,randomized,{'C0034656'}
35133415,ratio,{'C0456603'}
35133415,once-weekly,
35133415,volume-matched placebo,
35133415,weeks,{'C0439230'}
35133415,Tirzepatide,{'C5139934'}
35133415,mg/week,
35133415,weeks,{'C0439230'}
35133415,assigned dose,
35133415,baseline,"{'C0168634', 'C1442488', 'C1552824'}"
35133415,glycated hemoglobin A1c,
35133415,HbA1c,{'C0019018'}
35133415,week,"{'C0439230', 'C1561540'}"
35133415,body weight,"{'C0005910', 'C1305866'}"
35133415,percentage,
35133415,patients,{'C0030705'}
35133415,HbA1c,{'C0019018'}
35133415,levels,{'C0441889'}
35133415,randomized participants,
35133415,women,{'C0043210'}
35133415,SD,"{'C5203098', 'C0037717', 'C0038642', 'C1420113', 'C0871420', 'C5203099', 'C5203103', 'C5203100', 'C5203102', 'C1096903', 'C0332147', 'C2699239', 'C1705872', 'C5203101', 'C0677946'}"
35133415,age,{'C0001779'}
35133415,years,{'C0439234'}
35133415,SD,"{'C5203098', 'C0037717', 'C0038642', 'C1420113', 'C0871420', 'C5203099', 'C5203103', 'C5203100', 'C5203102', 'C1096903', 'C0332147', 'C2699239', 'C1705872', 'C5203101', 'C0677946'}"
35133415,HbA1c,{'C0019018'}
35133415,trial,
35133415,Treatment,"{'C0087111', 'C1522326', 'C1533734', 'C1705169'}"
35133415,discontinued,
35133415,participants,{'C0679646'}
35133415,tirzepatide group,
35133415,tirzepatide group,
35133415,tirzepatide group,
35133415,placebo,"{'C0032042', 'C1696465'}"
35133415,group,"{'C0441833', 'C0687744'}"
35133415,week,"{'C0439230', 'C1561540'}"
35133415,HbA1c,{'C0019018'}
35133415,change,"{'C0443172', 'C0392747'}"
35133415,baseline,"{'C0168634', 'C1442488', 'C1552824'}"
35133415,tirzepatide,{'C5139934'}
35133415,placebo,"{'C0032042', 'C1696465'}"
35133415,placebo,"{'C0032042', 'C1696465'}"
35133415,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35133415,placebo,"{'C0032042', 'C1696465'}"
35133415,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35133415,HbA1c,{'C0019018'}
35133415,change,"{'C0443172', 'C0392747'}"
35133415,baseline,"{'C0168634', 'C1442488', 'C1552824'}"
35133415,placebo,"{'C0032042', 'C1696465'}"
35133415,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35133415,Mean body weight,
35133415,baseline,"{'C0168634', 'C1442488', 'C1552824'}"
35133415,tirzepatide,{'C5139934'}
35133415,tirzepatide,{'C5139934'}
35133415,placebo,"{'C0032042', 'C1696465'}"
35133415,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35133415,difference,
35133415,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35133415,difference,
35133415,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35133415,percentages,
35133415,patients,{'C0030705'}
35133415,treated with,{'C1522326'}
35133415,tirzepatide,{'C5139934'}
35133415,treated with,{'C1522326'}
35133415,placebo,"{'C0032042', 'C1696465'}"
35133415,HbA1c,{'C0019018'}
35133415,treatment-emergent adverse events,
35133415,tirzepatide groups,
35133415,placebo,"{'C0032042', 'C1696465'}"
35133415,group,"{'C0441833', 'C0687744'}"
35133415,diarrhea,{'C0011991'}
35133415,nausea,{'C0027497'}
35133415,patients,{'C0030705'}
35133415,type 2 diabetes,{'C0011860'}
35133415,inadequate glycemic control,
35133415,treatment,"{'C0087111', 'C3887704', 'C0039798'}"
35133415,insulin glargine,{'C0907402'}
35133415,subcutaneous tirzepatide,
35133415,compared,
35133415,placebo,"{'C0032042', 'C1696465'}"
35133415,insulin glargine,{'C0907402'}
35133415,statistically significant,{'C0237881'}
35133415,improvements,
35133415,glycemic control,
35133415,weeks,{'C0439230'}
35133411,deaths,{'C0011065'}
35133411,US,"{'C0041703', 'C0041618', 'C0815353', 'C3889164'}"
35133411,cigarette smoking,"{'C0700219', 'C0239059'}"
35133411,year,"{'C1561544', 'C0439234', 'C1561543'}"
35133411,cause,{'C0015127'}
35133411,people,{'C0027361'}
35133411,adults,{'C0001675'}
35133411,US,"{'C0041703', 'C0041618', 'C0815353', 'C3889164'}"
35133411,smoke,{'C0037366'}
35133411,cigarettes,{'C0677453'}
35133411,stopped smoking,{'C0425310'}
35133411,reduce,
35133411,risk,"{'C4552904', 'C0035647'}"
35133411,tobacco-related morbidity,
35133411,mortality,"{'C0026566', 'C0026565'}"
35133411,years,{'C0439234'}
35133411,Tobacco smoking,{'C0453996'}
35133411,chronic disorder,{'C0008679'}
35133411,maintained,{'C1314677'}
35133411,physical nicotine,
35133411,dependence,{'C0439857'}
35133411,learned behaviors,
35133411,people,{'C0027361'}
35133411,smoke,{'C0037366'}
35133411,cigarettes,{'C0677453'}
35133411,quit smoking,
35133411,individuals,
35133411,quit smoking,
35133411,average,{'C1510992'}
35133411,quit,{'C0748223'}
35133411,attempts,
35133411,long-term,{'C0443252'}
35133411,abstinence,
35133411,behavioral counseling,
35133411,pharmacotherapy,"{'C0013216', 'C0013217'}"
35133411,nicotine replacement therapy,{'C1278444'}
35133411,NRT,{'C1278444'}
35133411,varenicline,{'C1569608'}
35133411,bupropion,{'C0085208'}
35133411,effective,{'C1280519'}
35133411,treatments,{'C0087111'}
35133411,effective,{'C1280519'}
35133411,combined,{'C0205195'}
35133411,meta-analysis,"{'C0920317', 'C0282458'}"
35133411,people,{'C0027361'}
35133411,cigarettes,{'C0677453'}
35133411,combination,
35133411,medication,"{'C3244316', 'C0013227'}"
35133411,behavioral counseling,
35133411,associated with,{'C0332281'}
35133411,rate,
35133411,months,{'C0439231'}
35133411,compared,
35133411,quit,{'C0748223'}
35133411,rate,
35133411,usual care,
35133411,EAGLES trial,
35133411,randomized double-blind clinical trial,
35133411,people,{'C0027361'}
35133411,efficacy,{'C1280519'}
35133411,safety,{'C0036043'}
35133411,varenicline,{'C1569608'}
35133411,bupropion,{'C0085208'}
35133411,nicotine,{'C0028040'}
35133411,patch,"{'C1706366', 'C0445403', 'C1305400', 'C0994894'}"
35133411,placebo,"{'C0032042', 'C1696465'}"
35133411,quit rate,
35133411,varenicline,{'C1569608'}
35133411,bupropion,{'C0085208'}
35133411,nicotine,{'C0028040'}
35133411,patch,"{'C1706366', 'C0445403', 'C1305400', 'C0994894'}"
35133411,therapy,"{'C0087111', 'C0039798'}"
35133411,effective,{'C1280519'}
35133411,placebo,"{'C0032042', 'C1696465'}"
35133411,nicotine,{'C0028040'}
35133411,patch,"{'C1706366', 'C0445403', 'C1305400', 'C0994894'}"
35133411,NRT,{'C1278444'}
35133411,products,
35133411,effective,{'C1280519'}
35133411,NRT,{'C1278444'}
35133411,product,"{'C1514468', 'C1550506'}"
35133411,drugs,{'C0013227'}
35133411,mechanisms,{'C0441712'}
35133411,action,"{'C0441472', 'C1552007'}"
35133411,varenicline,{'C1569608'}
35133411,NRT,{'C1278444'}
35133411,increased,{'C0205217'}
35133411,quit rates,
35133411,studies,{'C0947630'}
35133411,compared,
35133411,Brief,{'C1879313'}
35133411,behavioral support,
35133411,person,{'C0027361'}
35133411,telephone,"{'C0039457', 'C1548940'}"
35133411,messages,{'C0470166'}
35133411,internet,{'C0282111'}
35133411,combination,
35133411,clinician's,
35133411,quit,{'C0748223'}
35133411,assistance,{'C0018896'}
35133411,tobacco cessation,{'C0600549'}
35133411,treatment,"{'C0087111', 'C3887704', 'C0039798'}"
35133411,effective,{'C1280519'}
35133411,administered,
35133411,tobacco users,{'C3853727'}
35133411,health care settings,
35133411,people,{'C0027361'}
35133411,US,"{'C0041703', 'C0041618', 'C0815353', 'C3889164'}"
35133411,smoke,{'C0037366'}
35133411,cigarettes,{'C0677453'}
35133411,life,{'C0376558'}
35133411,expectancy,{'C0679138'}
35133411,stopping,{'C0723457'}
35133411,smoking,{'C0037369'}
35133411,First-line therapy,
35133411,pharmacotherapy,"{'C0013216', 'C0013217'}"
35133411,behavioral support,
35133411,varenicline,{'C1569608'}
35133411,combination,
35133411,NRT,{'C1278444'}
35133411,interventions,{'C0886296'}
35129581,SARS-CoV-2 infection,
35129581,increases,{'C0442805'}
35129581,risk,"{'C4552904', 'C0035647'}"
35129581,obstetric,
35129581,morbidity,"{'C0220880', 'C0026538'}"
35129581,evaluate,
35129581,association,"{'C0699792', 'C0004083'}"
35129581,SARS-CoV-2 infection,
35129581,maternal,"{'C1858460', 'C0026591'}"
35129581,morbidity,"{'C0220880', 'C0026538'}"
35129581,mortality,"{'C0026566', 'C0026565'}"
35129581,obstetric,
35129581,complications,"{'C0009566', 'C1171258'}"
35129581,Retrospective,{'C1514923'}
35129581,pregnant,{'C0549206'}
35129581,postpartum,{'C0086839'}
35129581,patients,{'C0030705'}
35129581,follow-up,"{'C0589120', 'C1522577'}"
35129581,US,"{'C0041703', 'C0041618', 'C0815353', 'C3889164'}"
35129581,hospitals,{'C0019994'}
35129581,participating,
35129581,Eunice Kennedy Shriver National Institute of Child,
35129581,Human,{'C0086418'}
35129581,Gestational Research Assessments,
35129581,COVID-19,{'C5203670'}
35129581,patients,{'C0030705'}
35129581,SARS-CoV-2,{'C5203676'}
35129581,compared,
35129581,positive,{'C1446409'}
35129581,SARS-CoV-2 test,
35129581,dates,{'C0011008'}
35129581,period,"{'C1561960', 'C0439531', 'C0025344'}"
35129581,SARS-CoV-2 infection,
35129581,positive,{'C1446409'}
35129581,nucleic acid,{'C0028606'}
35129581,antigen test,{'C0729856'}
35129581,Secondary analyses,
35129581,stratified,{'C0205363'}
35129581,SARS-CoV-2 infection,
35129581,disease severity,{'C0521117'}
35129581,primary outcome,
35129581,composite,{'C0205199'}
35129581,maternal death,{'C0024923'}
35129581,morbidity,"{'C0220880', 'C0026538'}"
35129581,hypertensive disorders,
35129581,pregnancy,{'C0032961'}
35129581,postpartum hemorrhage,{'C0032797'}
35129581,infection,"{'C0009450', 'C3714514'}"
35129581,SARS-CoV-2,{'C5203676'}
35129581,secondary outcome,
35129581,cesarean birth,
35129581,patients,{'C0030705'}
35129581,age,{'C0001779'}
35129581,years,{'C0439234'}
35129581,patients,{'C0030705'}
35129581,SARS-CoV-2 infection,
35129581,positive,{'C1446409'}
35129581,SARS-CoV-2 test,
35129581,Compared,{'C1707455'}
35129581,positive,{'C1446409'}
35129581,SARS-CoV-2 test,
35129581,SARS-CoV-2 infection,
35129581,associated with,{'C0332281'}
35129581,primary outcome,
35129581,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35129581,relative risk,{'C0242492'}
35129581,aRR,
35129581,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35129581,maternal,"{'C1858460', 'C0026591'}"
35129581,deaths,{'C0011065'}
35129581,SARS-CoV-2 group,
35129581,SARS-CoV-2 infection,
35129581,associated with,{'C0332281'}
35129581,cesarean birth,
35129581,aRR,
35129581,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35129581,Compared,{'C1707455'}
35129581,positive,{'C1446409'}
35129581,SARS-CoV-2 test,
35129581,moderate,{'C0205081'}
35129581,COVID-19,{'C5203670'}
35129581,severity,{'C0439793'}
35129581,associated with,{'C0332281'}
35129581,primary outcome,
35129581,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35129581,aRR,
35129581,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35129581,secondary outcome,
35129581,cesarean birth,
35129581,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35129581,aRR,
35129581,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35129581,mild,{'C2945599'}
35129581,asymptomatic infection,
35129581,associated with,{'C0332281'}
35129581,primary outcome,
35129581,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35129581,aRR,
35129581,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35129581,cesarean birth,
35129581,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35129581,aRR,
35129581,CI,"{'C3259781', 'C1705941', 'C1417638', 'C0022326', 'C1547546'}"
35129581,pregnant,{'C0549206'}
35129581,postpartum,{'C0086839'}
35129581,individuals,
35129581,US,"{'C0041703', 'C0041618', 'C0815353', 'C3889164'}"
35129581,hospitals,{'C0019994'}
35129581,SARS-CoV-2 infection,
35129581,associated with,{'C0332281'}
35129581,increased,{'C0205217'}
35129581,risk,"{'C4552904', 'C0035647'}"
35129581,composite,{'C0205199'}
35129581,outcome,{'C1274040'}
35129581,maternal,"{'C1858460', 'C0026591'}"
35129581,mortality,"{'C0026566', 'C0026565'}"
35129581,morbidity,"{'C0220880', 'C0026538'}"
35129581,obstetric,
35129581,complications,"{'C0009566', 'C1171258'}"
35119057,clinical presentation,
35119057,carbon monoxide,{'C0007018'}
35119057,intoxication ranges,
35119057,headache,{'C0018681'}
35119057,coma,{'C0009421'}
35119057,death,{'C0011065'}
35119057,YouTube,
35119057,patients,{'C0030705'}
35119057,entertainment,{'C0680153'}
35119057,medical advice,
35119057,study,{'C0947630'}
35119057,evaluate,
35119057,content,{'C1550605'}
35119057,quality,
35119057,YouTube videos,
35119057,CO,"{'C0007018', 'C3245499', 'C1292295', 'C2987275', 'C1705247', 'C0009399'}"
35119057,poisoning,"{'C0032344', 'C0032343'}"
35119057,knowledge,{'C0376554'}
35119057,non-medical audience,
35119057,YouTube,
35119057,search,{'C1552603'}
35119057,phrases,{'C0600665'}
35119057,carbon monoxide,{'C0007018'}
35119057,carbon,{'C0007009'}
35119057,monoxide symptoms,
35119057,CO,"{'C0007018', 'C3245499', 'C1292295', 'C2987275', 'C1705247', 'C0009399'}"
35119057,poisoning,"{'C0032344', 'C0032343'}"
35119057,carbon monoxide,{'C0007018'}
35119057,asphyxiation,{'C0004044'}
35119057,carbon monoxide intoxication,
35119057,incognito mode,
35119057,attachment,"{'C0185023', 'C0237497'}"
35119057,Google Account,
35119057,results,
35119057,default,
35119057,YouTube browser,
35119057,results,
35119057,consideration,{'C0518609'}
35119057,raters,
35119057,specialist,"{'C0087009', 'C2348234'}"
35119057,emergency medicine,{'C0013964'}
35119057,specialist,"{'C0087009', 'C2348234'}"
35119057,clinical toxicology,
35119057,videos,{'C0042655'}
35119057,Quality Criteria for Consumer Health Information,
35119057,DISCERN,
35119057,Global Quality Score,
35119057,GQS,
35119057,Ninety-five videos,
35119057,interclass coefficient,
35119057,DISCERN,
35119057,GQS,
35119057,JAMA,"{'C1422839', 'C3890557'}"
35119057,scores,{'C0449820'}
35119057,moderate,{'C0205081'}
35119057,reliability,
35119057,DISCERN/GQS/JAMA,
35119057,SD,"{'C5203098', 'C0037717', 'C0038642', 'C1420113', 'C0871420', 'C5203099', 'C5203103', 'C5203100', 'C5203102', 'C1096903', 'C0332147', 'C2699239', 'C1705872', 'C5203101', 'C0677946'}"
35119057,SD,"{'C5203098', 'C0037717', 'C0038642', 'C1420113', 'C0871420', 'C5203099', 'C5203103', 'C5203100', 'C5203102', 'C1096903', 'C0332147', 'C2699239', 'C1705872', 'C5203101', 'C0677946'}"
35119057,SD,"{'C5203098', 'C0037717', 'C0038642', 'C1420113', 'C0871420', 'C5203099', 'C5203103', 'C5203100', 'C5203102', 'C1096903', 'C0332147', 'C2699239', 'C1705872', 'C5203101', 'C0677946'}"
35119057,DISCERN/GQS/JAMA,
35119057,videos,{'C0042655'}
35119057,information,"{'C0870705', 'C1533716'}"
35119057,exposure time,
35119057,treatment options,{'C0683525'}
35119057,hyperbaric chamber,{'C0175726'}
35119057,indications,{'C0392360'}
35119057,physician,{'C0031831'}
35119057,speaker,
35119057,Video Power Index,
35119057,video,{'C0042655'}
35119057,animations,{'C0376650'}
35119057,patients,{'C0030705'}
35119057,history,"{'C0019664', 'C0262512', 'C0019665', 'C0262926'}"
35119057,CO,"{'C0007018', 'C3245499', 'C1292295', 'C2987275', 'C1705247', 'C0009399'}"
35119057,exposure,"{'C0332157', 'C0274281', 'C0728853'}"
35119057,DISCERN/ GQS/JAMA,
35119057,scores,{'C0449820'}
35119057,Videos,{'C4284179'}
35119057,information,"{'C0870705', 'C1533716'}"
35119057,ratio,{'C0456603'}
35119057,video,{'C0042655'}
35119057,quality,
35119057,poor,{'C0032854'}
35119057,inappropriate,
35119057,educational,
35119057,informative value,
35119057,patients,{'C0030705'}
35119057,information,"{'C0870705', 'C1533716'}"
35119057,carbon,{'C0007009'}
35119057,monoxide poisoning,
